game_date,event_id,commence_time,home_team,away_team,home_score,away_score,completed
2026-03-08,263bd2c6880e1a466ec715a48e271d17,2026-03-06T00:10:00Z,Pittsburgh Penguins,Buffalo Sabres,1,5,True
2026-03-08,54ef90561bb89558c4f43a7dd8d0e736,2026-03-06T00:10:00Z,Columbus Blue Jackets,Florida Panthers,4,2,True
2026-03-08,aeb8a9998a36ec00c2a6d166761c8b19,2026-03-06T00:12:00Z,Philadelphia Flyers,Utah Mammoth,0,3,True
2026-03-08,51d66e2f90e0586a8431c2cafe09675c,2026-03-06T00:24:00Z,New York Rangers,Toronto Maple Leafs,6,2,True
2026-03-08,70a063119f871d868508fbfe39f19d7b,2026-03-06T01:10:00Z,Nashville Predators,Boston Bruins,6,3,True
2026-03-08,c3332d375178bc6234955c6bb23dc5f3,2026-03-06T01:15:00Z,Winnipeg Jets,Tampa Bay Lightning,4,1,True
2026-03-08,52524ba9961c5198d1a781bb0b6aa7b3,2026-03-06T02:10:00Z,Calgary Flames,Ottawa Senators,1,4,True
2026-03-08,1a002c913578d2316e3cbd402e01e68a,2026-03-06T02:45:00Z,Los Angeles Kings,New York Islanders,5,3,True
2026-03-08,7c70b7951bf3f78c870434b85394936a,2026-03-07T00:10:00Z,Detroit Red Wings,Florida Panthers,1,3,True
2026-03-08,cd285777668b760d245789f75671847a,2026-03-07T01:10:00Z,Dallas Stars,Colorado Avalanche,4,5,True
2026-03-08,82b2850e20f26b973018047b3f743718,2026-03-07T01:50:00Z,Chicago Blackhawks,Vancouver Canucks,3,6,True
2026-03-08,985af0d68076c08ba3805c2a2cfd57c9,2026-03-07T02:09:00Z,Edmonton Oilers,Carolina Hurricanes,3,6,True
2026-03-08,46348ad02f0568f7c64397411ce93f4e,2026-03-07T02:10:00Z,Anaheim Ducks,Montréal Canadiens,6,5,True
2026-03-08,ea2562aeabc044f5a61f3f0a40c67a7e,2026-03-07T03:09:00Z,Vegas Golden Knights,Minnesota Wild,2,4,True
2026-03-08,72aa32bc3c36b39a33946349eb00179c,2026-03-07T03:10:00Z,San Jose Sharks,St Louis Blues,2,3,True
2026-03-08,97df2ad273fb56b34417ab6cb86d1ab3,2026-03-07T17:39:00Z,Boston Bruins,Washington Capitals,3,1,True
2026-03-08,7cbe2fba8e50bda9c4f6429c12a3c3ea,2026-03-07T20:20:00Z,New Jersey Devils,New York Rangers,6,3,True
2026-03-08,75eec947c67c9b4bd4102a2f9d805366,2026-03-07T22:38:00Z,Buffalo Sabres,Nashville Predators,3,2,True
